"研究課題名","研究課題名 (英文)","研究課題/領域番号","研究期間 (年度)","研究代表者","研究分担者","連携研究者","研究協力者","特別研究員","外国人特別研究員","受入研究者","キーワード","研究分野","審査区分","研究種目","研究機関","応募区分","総配分額","総配分額 (直接経費)","総配分額 (間接経費)","各年度配分額","各年度配分額 (直接経費)","各年度配分額 (間接経費)","現在までの達成度 (区分コード)","現在までの達成度 (区分)","理由","研究概要","研究概要 (英文)","研究成果の概要","研究成果の概要 (英文)","研究実績の概要","現在までの達成度 (段落)","今後の研究の推進方策","次年度の研究費の使用計画","次年度使用額が生じた理由","次年度使用額の使用計画","自由記述の分野","評価記号","備考"
"SD式モデルに基づく英日会話文デ-タベ-スからの背景知識と意志や意図情報の抽出","","03245215","1991","河口 英二 九州工業大学, 工学部, 教授 (90038000)","鎌田 清一郎 九州工業大学, 工学部, 助手 (00204602)
野崎 剛一 長崎大学, 総合情報処理センター, 講師 (00124834)","","","","","","会語文デ-タ / 意味検索 / 自然言語処理 / 概念表現 / 意味構造記述 / 知識処理","","","重点領域研究","九州工業大学","","2500000","2500000","","1991:2500000","1991:2500000","1991:0","","","","1.会話文デ-タの収集と意味構造デ-タの蓄積
既に蓄積している会話文に加え,新たな会話文テキストのMSーDOSファイル化と意味構造のデ-タを作成した。SD式として新たに蓄積したデ-タ量は約7000文程度である。
2.SD式処理システム(SDENV)の改良
従来からPrologを用いてSD式実験プログラムパッケ-ジ(SDENV)の高速化と高機能化を図った。高速化の主な手法は、探索処理において以前の成功結果を効率的にシステム内に保存しておき,後の処理で再利用することである。この結果、例えば二つの概念の最近共通先概念を求める問題では、多くの場合、これまでのものに比べて10ー20倍もの高速処理が可能となった。
3.会話文検索システムの試作
システムに与えられた知識デ-タを利用してデ-タベ-ス内の会話文を意味情報を用いて検索可能となるシステムを試作した。このシステムでの検索キ-としては、
(1)一つのSD式
(2)陳述的な会話文における機能項目
(3)概念ラベル
(4)英語/日本語例文
の4種を設定した。(1)はSD式で与えられた発話の意図/意味に最も近い英語/日本語内容の例文をデ-タベ-スから探し出すことである。(2)は検索の際、発話者の意図や内容の主語/述語/目的語等々の意味的な機能項目に関する重みの指定を可能とするものであり、焦点を絞るものである。(3)は概念ラベルのみを指定する場合,(4)は例文と同義のものを探し出す場合である。","","","","","","","","","","","",""
"自然言語による空間描写理解のための知識獲得と概念形成に関する研究","","03245210","1991","堂下 修司 京都大学, 工学部, 教授 (00025925)","山田 篤 京都大学, 工学部, 助手 (20240004)
河原 達也 京都大学, 工学部, 助手 (00234104)
山梨 正明 京都大学, 教養部, 助教授 (80107086)
西田 豊明 京都大学, 工学部, 助教授 (70135531)","","","","","","知識獲得 / 知識ベ-ス / 自然言語理解 / 空間描写 / イメ-ジ / 顕現性","","","重点領域研究","京都大学","","2500000","2500000","","1991:2500000","1991:2500000","1991:0","","","","本研究では、知識獲得・概念形成の手法を用いて空間概念を構築する方法について、仮説に基づく実験システムの構築とその実験的評価を中心とした実証的な立場から研究を行う。平成3年度は、言語構造ーイメ-ジの対応関係の獲得のために、知識獲得管理システムと我々が従来作成した情景再構成システムから成る知識獲得システムの設計と、情景再構成システムで用いる初期的な知識ベ-スの構築を行った。
1.知識ベ-ス構築のために、2つの名詞によって表される実体間の関係を考え、「名詞+『の』+名詞」句を対象とした検討を行った。これに基づき、前後の名詞が空間的実体を表しているものに対し、その表す関係を、(1)材料、構成要素、(2)産出・供出・提供、(3)所有、(4)特定、(5)何らかの動詞で関係づけられるもの(上記以外)、(6)全体ー部分関係、(7)環境の「中の」対象を表す関係に分類した。
2.全体ー部分関係については、各概念に関する情報として上位構成、構成要素を知識ベ-スにもたせることにより対応をはかった。
3.ある環境中に対象がおかれているという関係については、「環境」と「対象」という概念を導入した。対象については、環境との接し方(安定な状態)、用い方等を知識ベ-スに組み込む。環境については、顕現性(salience)を考え、その概念のどの部分が「環境」として用いられるかを知識ベ-スに組み込む。
4.以上の結果として、各概念に関する情報の整理項目はその概念の上位概念、その概念により構成されるもの(上位構成)、その概念を構成するもの(構成要素)、その概念の持つ属性、その概念の持つ機能となった。
今後、知識提供者の判定結果を分析し一般化を試みることによって、獲得過程のシステム化による知識ベ-スの大規模化を行う。更に、出現する対象のみならず、その発話がなされた言語的文脈の影響を取り入れた知識の獲得を目指す。","","","","","","","","","","","",""
"法律文からの知識獲得の研究","","03245108","1991","吉野 一 明治学院大学, 法学部, 教授 (50062162)","桜井 成一朗 東京工業大学大学院, 理工学総合研究科, 助手 (20202088)
加賀山 茂 大阪大学, 法学部, 助教授 (20169379)
野村 浩郷 九州工業大学, 情報工学部, 教授 (30208392)","","","","","","法律文 / 法的知識獲得 / 素性論理構造表現 / 自動変換 / 自然言語処理 / 知識獲得支援システム / 法的推論 / 知識獲得過程のモデル化","","","重点領域研究","明治学院大学","","2500000","2500000","","1991:2500000","1991:2500000","1991:0","","","","本研究は、大量の法律文から体系化された知識ベ-スとして法的知識を獲得するための方法を開発すること、そして同時に、法律家の知識獲得過程のモデル化を行い、計算機によるその実現を試みることを目的とする。
平成3年度は、知識獲得の対象として「国際統一売買法(国際的動産売買契約に関する国連条約)」を選び、国際統一売買法の条文から自然言語処理技術を適用することによってル-ルを抽出する研究と、そのル-ルを実際に利用可能なル-ルへと変換する機構についての二つの研究を進めてきた。法律文から直接利用可能なル-ルを獲得するのは、法的推論が、仮説推論的な側面を有しているため、法的知識獲得を二つの過程に分離し、その分析および知識獲得の方法について検討を行なってきた。まず、第一の段階である、自然言語からル-ルへの変換であるが、素性論理構造表現を変換のタ-ゲットとして、本年度は特に構文的側面について重点的に分析を行なってきた。すなわち、条文で用いられている、用語を整理・分析することによって、自動変換の可能性についての知見を得ることができた。第二の段階である、変換された知識を直接利用可能に形式化するために必要となる知識についての分析および、法律家の知識獲得過程を詳細に分析した。その分析を基にして、知識獲得支援システムのプロトタイプの設計を行なった。","","","","","","","","","","","",""
"デ-タベ-スにおける知識獲得","","03245103","1991 – 1993","西尾 章治郎 大阪大学, 情報処理教育センター, 助教授 (50135539)","田中 譲 北海道大学, 工学部, 教授 (60002309)
田中 克己 神戸大学, 工学部, 助教授 (00127375)
小山 照夫 学術情報センター, 研究開発部, 助教授 (80124410)
大須賀 節雄 東京大学, 先端科学技術研究センター, 教授 (10013640)
茨木 俊秀 京都大学, 工学部, 教授 (50026192)","","","","","","デ-タベ-ス / 知識ベ-ス / 知識獲得 / マルチメディア / オブジェクト指向 / 推論機構","","","重点領域研究","大阪大学","","28300000","28300000","","1991:28300000","1991:28300000","1991:0","","","","研究計画調書に記した研究計画概要に従い,デ-タベ-スにおける知識獲得に関して重要な以下の4テ-マを中心として,理論および応用の両面より本年度の研究を推進した。
A.対象メディアの多様化にともなう研究
(A1)マルチメディア情報の知識ベ-ス化
(A2)知識ベ-スの柔構造化
B.対象デ-タの大量化にともなう研究
(B1)デ-タベ-スからの知識獲得
(B2)知識ベ-スにおける推論機構の効率化
各テ-マに関して,8名によって構成している班内の2名のメンバ-が中心に研究を推進した。(A1)と(A2)のテ-マに関しては,特にオブジェクト指向のパラダイムにもとづいた知識表現,デ-タベ-スモデルを採用することにより研究が大幅に進展した。また,(B1)と(B2)のテ-マに関しては,従来からこれらの分野で提案されている手法より高度で,効率的ないくつかの方法を提案することにより研究を飛躍的に発見させることができた。
また,本年度の研究班の主要な研究活動として,班全体の研究会を2回大阪で開催した。まず,第1回の研究会では,本班の今後の研究推進に関する方向づけをより明確にするとともに,班全体のテ-マに対する各分担テ-マの位置づけを確認したうえで,各テ-マの今後の研究計画をベ-スとした発表および討論を行なった。第2回目の研究会では,本班の本年度の研究を総括する意味で,各メンバ-の本年度の研究成果を発表し,その結果をもとに来年度にどのように発展させるかについて議論した。
以上,本年度に計画していた研究を滞りなく完了した。","","","","","","","","","","","",""
"自然言語処理のための汎用の解析環境の構築に関する研究","","02750270","1990","松本 裕治 京都大学, 工学部, 助教授","","","","","","","","情報工学 / 電気工学 / 工学","","奨励研究(A)","京都大学","","700000","700000","","1990:700000","1990:700000","1990:0","","","","","","","","","","","","","","","",""
"限定分野における中日機械翻訳システムの改善に関する研究","Research on the Improvement of Chinese-Japanese Machine Translation System in the Restricted Field.","02680035","1990 – 1991","田町 常夫 福岡工業大学, 工学部, 教授 (90037656)","寺田 栄男 福岡工業大学, 工学部, 講師 (20148901)","","","","","","自然言語処理 / 機械翻訳 / 中国語","情報学 / 複合領域","","一般研究(C)","福岡工業大学","","1400000","1400000","","1990:1100000 1991:300000","1990:1100000 1991:300000","1990:0 1991:0","","","","中国語から日本語への翻訳システムの改良を行なった。研究成果の概要は以下の通りである。
1.ベタ書き中国文を自動的に単語単位に分かち書きするプログラムを作成した。我々の翻訳システムでは単語単位の分かち書き入力を採用しているので、これを一括翻訳の場合に翻訳の前処理用として使用する。2.中国語では動詞の補充成分として補語が多用されるが、この補語の分析と処理の方法について検討した(電気関係学会九州支部大会発表)。3.従来、意味属性をアルファベット1文字で表現していたものを、2文字で表現するように拡張した。これにより意味属性をより細かく設定できるようになり、訳語の選択処理、構文規則の適用条件設定の幅が広がった。しかし従来のシステムでは属性の与え方が体系化されていなかったので、IPALの辞書などを参考にして意味属性の与え方を再検討中である。4.技術文献として、人民日報の計算機に関する記事を中国人に翻訳してもらい対訳テキストを作成した。このテキストにより翻訳実験を行ない、単語辞書・構文辞書の拡充およびシステムの改良を行なった。5.技術文書では多くの専門用語が使われ、しかも複合語が多いので、技術文書の翻訳を行なうには専門用語の処理を考えておく必要がある。計算機関連分野に関する専門用語の取扱いについての予備調査を行なった(電気関係学会九州支部大会発表)。6.プロトタイプのシステムでは構文解析はバックトラックなしで行なっていたが、これを改良し単語の訳語の多義に関しては複数訳文が出せるようにした。7.自然言語理解システムIMAGESーIIの作成、これは英語談話を理解し、質問に応答することができるシステムである。このシステムにおいて実現されている自然言語処理は特定の言語に依存しないという特長を持っている。","We have engaged in the work of the improvement of Chinese-Japanese machine translation system for these 2 years. The outlines of research results are as follows :
1. As Chinese sentences are written without inserting spaces between words, input sentences must be first divided into words. We constructed a segmentation program, which performs a morphological analysis and divide a continuous Chinese sentence into words. We use this program before translation to get a segmented text in the case of batch translation.
2. We analyzed the usage of complements, which are very often used in Chinese, and examined the way of processing them.
3. We extended the expression of semantic marker from 1 character into 2 characters to improve the selection of suitable word meaning from an ambiguous word.
4. Our system is intended to be utilized in translating documents primarily in scientific add technical field. We tried translation experiments using a scientific article about computers extracted from Chinese newspaper to enrich the items of the word dictionary and the syntax dictionary.
5. As scientific documents use many technical terms and compound words, we must examine how to process technical terms. We did preliminary study on the processing of technical terms.
6. We improved the system to have backtrack mechanism, so that we can get more than one translation results when a word has several meanings.
7. We constructed an English discourse understanding system named IMAGES-II. This system translates input discourses into semantic structures and answers questions. The knowledge representations and the processing algorithms employed in this system are free from any natural language.","","","","","","","","","","",""
"ユーザー定義オブジェクトを基礎とした制約論理型言語の作成","Constructing A Constraint Logic Programming Language Based on User Defined Objects","02558003","1990 – 1991","赤間 清 北海道大学, 工学部, 助教授 (50126265)","渡辺 慎哉 北海道大学, 工学部, 助手 (70210903)
〓見 達夫 長岡技術科学大学, 計画経営系, 講師 (50151915)","","","","","","オブジェクト / 自然言語処理 / 学習 / プログラム言語 / 制約論理型言語","情報学 / 複合領域","","試験研究(B)","北海道大学","","2300000","2300000","","1990:1700000 1991:600000","1990:1700000 1991:600000","1990:0 1991:0","","","","本研究では、【.encircled1.】ユーザーが必要なオブジェクトを、そのユニフィケーションを新しく指定して、自由に定義し、【.encircled2.】それらのオブジェクトの間の関係の記述を行なう、という2段階のプログラミングが可能な新しい論理型言語を構築した。ここでは、それをPAL-IIと仮称する。また、PAL-IIを自然言語処理システムや学習システムに実際に応用して、その有効性を確認した。【.encircled1.】自然言語処理システムTALKの改定版をPAL-IIで構築した。それにおいて、ユーザー定義オブジェクトは非常に大きな役割を果す事が確認された。(a)文章の意味表現は、ユーザー定義オブジェクトを用いる事によって、理論的に正当なものになり、その結果、処理のプログラムが明快になった。また、処理できる範囲が拡大した。(b)文章の意味表現を処理して、文脈の状況を付加え、文章の解釈を作る過程では、ユーザー定義オブジェクトが基本的役割を果した。(c)ユーザー定義オブジェクトにより、プログラムの等価変換による意味解釈という明快な枠組みを現実的な方法論として使えることを実証した。【.encircled2.】PAL-IIで、論理回路の簡単化ルールの学習を行なうシステムを構築した。それは、例からの学習を基礎とした方法を取っている。ここでも、ユーザー定義オブジェクトは非常に大きな役割を果す事が確認された。回路は、素子の集合とみなすことができるが、それをユーザー定義オブジェクトで表現することにより、回路変換ルールの合成を自動的に行なう事ができるようになり、それが、ルール学習を可能にした。
最後に、ユーザー定義オブジェクトを使えば、オブジェクト指向言語(smalltalk)や関数型言語(miranda)などをPAL-IIに埋めこむことができることを実験的に示した。これは、PAL-IIの枠組みがプログラミング言語を統合する新しいエレガントな舞台を提供する可能性を示唆している。","We have constructed a new logic programming language, which is tentatively called PAL-II, where (1) users can create various objects by defining the algorithm to unify such objects, (2) users can define relations between objects. We have shown the availability of PAL-II for constructing of natural language understanding systems and learning systems. User defined objects are very useful for representing meanings of sentences, situation and knowledge as a logic program. By the transofrmation technique of such generalized logic programs, we can construct a procedure to find meaning from sentence. User defined objects are also very useful for representing a system of transforming degital circuits as a logic program. By the transformation technique of such generalized logic programs, we can construct a procedure to compose two transformation rules into a new one. We have also shown that programming languages such as miranda and smalltalk are declaratively embeded into out PALL-II, which sugests that PAL-II provides a new unifying framework for many programming languages.","","","","","","","","","","",""
"確率的推論と論理的推論の統合による高次パターン認識・理解方式の研究","Intelligent pattern recognition and understanding by integrating probabilistic and symbolic reasoning","02452281","1990 – 1992","堂下 修司 京都大学, 工学部, 教授 (00025925)","石橋 勇人 京都大学, 大型計算機センター, 助手 (70212925)
河原 達也 京都大学, 工学部, 助手 (00234104)
北澤 茂良 静岡大学, 工学部, 助教授 (00109018)
山田 篤 京都大学, 工学部, 助手 (20240004)
西田 豊明 京都大学, 工学部, 助教授 (70135531)","","","","","","パターン理解 / 音声認識 / 音声理解 / HMM / 文脈自由文法 / キーワード抽出 / 意味ネットワーク / A^*探索 / 音声対話 / キ-ワ-ド抽出 / 確率文脈自由文法 / 意味ネットワ-ク / 確率的推論 / 論理的推論 / 自然言語理解 / ベイズ識別器 / ATMS / 概念ネットワ-ク","情報学 / 複合領域","","一般研究(B)","京都大学","","6400000","6400000","","1990:3100000 1991:1800000 1992:1500000","1990:3100000 1991:1800000 1992:1500000","1990:0 1991:0 1992:0","","","","高次パターン認識・理解系をめざして、さまざまな知識レベルにおける推論方式を検討し、それらを統合した音声認識・理解システムを構築した。
(1)音素認識部
音声認識・理解系の基盤となる音素認識部の高精度化を図り、対判別に基づく音素HMMを提案した。多数話者の音素認識率(27子音)で83.1%、単語認識率(語彙数653)で84.8%を得た。
(2)構文解析部
語彙・構文レベルにおける確率的推論と論理的推論の統合による文認識を行なった。ここでは、構文規則による予測・限定とHMMの確率による仮説の取捨に基づく探索が基本となる。文脈自由(LR)パージングにおいて、単語対制約によるヒューリスティックを用いたA^*探索アルゴリズムを実現した。
(3)キーワード抽出部
構文規則を用いなくても、複数のキーワードを抽出することにより、文の意味が理解できると考えられる。しかし、キーワードの抽出を従来のようにその単語の出現確率だけで行なうと精度が十分でないので、入力が文であることを仮定し、それがキーワードを含む音素列や単語列になるという論理的制約も導入した。
(4)意味解析部
(2)の処理で得られる文候補(N-bestの単語列)、ならびに(3)の処理で得られる単語ラティスに対して、意味表現を得るための意味ネットワークに基づくパーザを開発した。ここでは、意味・対話・タスクレベルの論理的制約と各単語に付与された確率を統合して推論を行なう。
(5)音声理解システムの構築と評価
(1)(2)(4)を統合した構文主導の推論方式と、(1)(3)(4)を統合した意味主導の推論方式に基づくシステムをそれぞれ実現した。両方式を語彙数244・単語パープレキシティ80のタスクで評価を行なった。文法に沿った定型的な発話に対しては、構文主導の方式が意味理解率65.5%であり、意味主導の方式の44.0%をかなり上回った。しかし、文法を逸脱した発話に対しては、意味主導の方式が頑強であることがわかった。","For intelligent speech recognition and understanding, we have examined reasoning strategies on several knowledge-levels, and integrated them into speech understanding systems as follows:
(1) Phoneme recognition
We have firstly improved phoneme recognition, which is the base of the whole system. Phoneme HMM based on pair-wise Bayes classifiers is proposed with 27 phoneme recognition rate of 83.1% and 653 word recognition rate of 84.8%.
(2) Syntactic analysis
Syntactic analyzer is developed by integrating probabilistic reasoning and symbolic reasoning on vocabulary and syntax level. Here heuristic search is performed based on prediction by syntax rules and probabilities of HMM. A^*-admissible context-free parsing with word-pair constraints as heuristics is presented.
(3) Keyword spotting
It is possible to make sense of sentences with multiple keywords, without syntax rules. However, conventional method extracts keywords using only the scores of their own, thus insufficient. A new spotting algorithm is presented with assumes logical constraint that the input is a phoneme or word sequence containing target keywords.
(4) Semantic analysis
Network-based semantic analyzer is developed which accepts both N-best word sequences and a keyword lattice and obtains a semantic representation. Here semantic, pragmatic and dialog-level knowledge is integrated and plausible hypothesis is obtained by combining probabilities of candidate words.
(5) Speech understanding system
Two reasoning strategies are implemented on speech understanding systems. One is syntactic-driven which integrates (1), (2) and (4). The other is semantic-driven which integrates (1), (3) and (4). We have evaluated both systems on a task whose vocabulary size is 244 and word perplexity is 80. For grammatical utterances, syntactic-driven approach got an accuracy of 65.5%, while semantic-driven achieved just 44.0%. However, semantic-driven approach is effective for out-of-grammar utterances.","","","","","","","","","","",""
"英語・日本語会話文のデ-タベ-ス化と意味情報による検索利用システムの研究","A Research on a English・Japanese Conversational Text-Base and Its Retrieval System Keyed by the Semantic Information","02452168","1990 – 1991","河口 英二 九州工業大学, 工学部, 教授 (90038000)","鎌田 清一郎 九州工業大学, 工学部, 助手 (00204602)
石川 聖二 九州工業大学, 工学部, 助教授 (90128116)
石原 好弘 福岡工業短期大学, 電子情報工学科, 教授 (50079711)","","","","","","知識デ-タ / 意味表現 / 自然言語概念 / 会話文デ-タベ-ス / 意味検索 / 発話意図 / 知識システム / 人工知能","情報工学 / 電気工学 / 工学","","一般研究(B)","九州工業大学","","800000","800000","","1991:800000","1991:800000","1991:0","","","","1.英・日会話文の収集と意味構造記述デ-タの作成
本研究全体を通じて、NHKの「ラジオ英会話テキスト」を原資料として利用し、総数約20,000文の英語/日本語会語文を収集してMSーDOSファイルとした。また意味構造デ-タとしては、約8,000文について作成した。
2.会話文と意味構造デ-タ(SD式デ-タ)管理システムの開発
SD式処理プログラムパッケ-ジ(SDENV)を開発し、これを基にして「会話文デ-タ管理システム」及び「SD式管理システム)を作成した。その機能としては、A.概念ラベルの登録、B.知識デ-タの動的登録、C.話題(会語場面)管理などを含む。
3.会話文デ-タベ-ス利用システムの開発
本研究で収集・構築した会話文デ-タベ-スを利用する「英・日会話文の意味的検索システム」のプロトタイプを作成した。このシステムの処理速度を向上させる技法として、処理における以前の成功/不成功結果をシステム内に効率よく蓄積する方法を開発した。この技法により以前の10倍程度の高速化が実現できている。プログラムはPrologおよびCを用いて書いている。本検索システムにおける検索キ-としては、(1)一つのSD式、(2)陳述文における機能項目、(3)概念ラベル、および会話文相互の意味的な近さの尺度を計算して最適なものを検索出来るようにしている。この処理の中心はSDENVの中の「詳述量」とそれを基にした「意味差の尺度」の計算機能である。","(1)Collection of English-Japanese Conversation Texts and the Semantic-structure Description Data
Throughout this project, we have collected English and Japanese conversational sentence texts from NHK RADIO ENGLISH CONVERSATION TEXT. The total number of sentence piece is as much as 200, 000 including short utterances like, ""Yes"", ""Hi"", and ""Oh, dear. ""As for the semantic structure description data(SD-form data), the total number is about 8, 000 sentences. We assembled all the data in a MS-DOS file.
(2)Development of database management system for conversational texts and SD-form data
We developed a program for SD-form semantics model environment(SDENV)as a Prolog program. Based on this core system, we also developed a Conversational text management system and a SD-form management system. The system function includes such function as A. New concept label appending, B. Dynamic knowledge installing, C. Topic managing, etc.
(3)Application of the conversational textbase
In the project, we also developed a prototype system of a ""Semantic retrieval of the English/Japanese conversational texts"". The system was equipped with many techniques to make the system operation faster. A typical technique is to retain the results of the previous values of functional evaluation, that is, we store the sucessful/unsuccessful results of the subfunctions into the database of the Prolog program. This technique enabled a 10 times faster system operation. Text retrievals are categorized into four modes, all of those have different retrieve keys. They are, A. An SD-form, B. Functional item in a statement SD-form, C. Concept label, and D. An example of Japanese/English text. In every mode, the system computes the semantic difference measure which is based on the concept elaboration relations in the SD-form semantics model.","","","","","","","","","","",""
"談話理解のための語彙機能モデルとその計算機処理方式に関する研究","Lexical Functional Model for Discourse Understanding and its Application to Natural Language Processing","02452167","1990 – 1992","野村 浩郷 九州工業大学, 情報工学部, 教授 (30208392)","津田 一郎 九州工業大学, 情報工学部, 助教授 (10207384)
後藤 万里子 九州工業大学, 情報工学部, 講師 (20189773)
杉本 武 九州工業大学, 情報工学部, 講師 (70196749)
永井 秀利 九州工業大学, 情報工学部, 助手 (60237485)
中村 順一 九州工業大学, 情報工学部, 助教授 (30164304)
岡田 直之 九州工業大学, 情報工学部, 教授 (80037837)","","","","","","計算言語学 / 言語学 / 自然言語処理 / 談話理解 / 語彙機能モデル / 言彙機能モデル / アスペクト / モダリ・ティ / メンタルスペ-ス / 自然言語理解 / 意味理解 / カオス / ニュ-ラルネット","情報工学 / 電気工学 / 工学","","一般研究(B)","九州工業大学","","5500000","5500000","","1990:3000000 1991:1700000 1992:800000","1990:3000000 1991:1700000 1992:800000","1990:0 1991:0 1992:0","","","","計算機による談話理解を行うために,本研究では言語学,計算機科学の両観点からの分析的研究を進め,語の機能に着目した談話理解モデルとその処理システムの作成とその機能の検証を行ってきた.以下に本研究課題で得られた研究成果の概要のいくつかを述べる.
1.日本語における文末表現の一つである「てしまう」においては実現相の「てしまう」を話し手によるコントロール不可能性と捉えた.これにより「てしまう」のアスペクトとモダリティにおける位置付けを明らかにし,その意味モデルを確立した.
2.言語的特徴の強い法律文に着目し,調査,分析することにより,語彙機能に着目した言語モデルを作成した.また,日本語においては,ある文の機能はその文の文末表現に特徴的に現れるため,法律文の文末表現を調査・分析することにより,その特徴から得られる文の論理構造を明らかにし,言語モデルに組み入れた.
3.文章の内容を捉える研究の一環として,要約処理に関する研究を行った.本研究では文章中の各文を拡張格構造解析し,得られたそれぞれの拡張格構造表現中で共通な格要素を結合することによって,文章全体を表す意味ネットワークを構成する.このネットワークでの結合量に基づく重要度評価により拡張格構造を抽出し,述語に基づいて格関係を図形要素に変換し,図表表現による文章の要約を得る.
これらを始めとする研究により,談話理解の基本的問題の解決,検証が行われた.","To study on computational discourse understanding, we take note of linguistic function of word. We analyze the function both linguistically and computationally. On the basis of the analysis, we design a discourse understanding model, and develop an experimental system based on the model.
The followings are some of the research results.
1. We analyze one of the sentence endings ""(te-simau)"". ""(te-simau)"" has ""completion"" type and ""realization"" type of aspect. Sometimes the ""realization"" type of ""(te-simau)"" has a kind of modality. Based on the analysis of the ""realization"" type of ""(te-simau)"", we show that the type represents ""the occurrence of situation which can not be controlled by the speaker"". And we show the position of ""(te-simau)"" on aspect and modality.
2. We propose a controlled linguistic model for law sentences. The linguistic model is investigated from the analysis of the real law sentences. The law sentences are analyzed in view of their characteristics of sentence endings which are controlled both syntactically and semantically. Based on the classification of ""what the law sentences govern"", we investigate patterns of logical structure of law sentences. We discuss a linguistic model by which we can specify those patterns.
3. We propose a document summarization method which produces a chart/table as a summary of text. The whole text is represented as an integration of extended case structures of each sentence. The integration becomes a complex semantic network. The semantic network is reduced by applying ""contribution degree"" which specifies the significance of each concept represented by a case element. The reduced network is converted into a chart/table representation consisting of ""cart elements"".","","","","","","","","","","",""
"音声対話のモデル化とその機械処理に関する総合的研究","Co-Operative Study on Modeling and Machine Inplementation of Spoken Language Conversation","02305010","1990 – 1991","白井 克彦 早稲田大学, 理工学部, 教授 (10063702)","新美 康永 京都工芸繊維大学, 工芸学部, 教授 (00026030)
溝口 理一郎 大阪大学, 産業科学研究所, 教授 (20116106)
牧野 正三 東北大学, 応用情報科学研究所, 助教授 (00089806)
板橋 秀一 筑波大学, 電子情報系, 教授 (70151454)
藤崎 博也 東京理科大学, 基礎工学部, 教授 (80010776)","","","","","","音声認識 / 音声理解 / 音声合成 / 自然言語処理 / 対話モデル / 音声対話モデル / 連続音声認識 / 対話デ-タベ-ス","広領域","","総合研究(A)","早稲田大学","","7300000","7300000","","1990:3400000 1991:3900000","1990:3400000 1991:3900000","1990:0 1991:0","","","","音声対話は,人間におけるコミュニケ-ションの最も基本的な様態であり,その適切なモデル化は言語学,哲学,認知科学等の中心的課題である。さらに,音声対話を計算機で実現することは,マン・マシン・インタフェ-スの高度化に不可欠な要素技術の一つである。本研究では音声対話をその行動科学的側面,並びに言語学的側面からとらえ,情報科学的な観点からモデル化し,最終的には工学的な観点から機械処理を可能にすることを目標として進められた。
研究期間中10回の全体的な会合を開いたが,研究分担者以外の研究者の参加も得て,活発に研究が行われた。
主な研究テ-マとしては,
1.音声対話における言語モデルの研究
2.音声対話システムにおける音声言語表現の生成
3.対話音声の理解システムの研究
4.音声対話システムにおける対話制御の研究
5.音声対話研究に必要とされるデ-タベ-ス像
などが取り上げられ,熱心な討論が繰り広げられた。
本研究は,音声対話に関心を持つ音声研究者と自然言語処理研究者が共同して本格的な音声対話研究の出発点を定めようとしたものであったが,その目的は十分に達成することができた。","Conversation using spoken language is the most fundamental forms in our communication. The modeling of the spoken language conversation is the main theme in various fields of study : linguistics, philosophy, cognitive science, etc. To realize a mechanism which performs the spoken language conversation in computer systems is indispensable to achieve advanced man-machine interface. The aims of our study are to analyze the spoken language conversation from the view points of behavioral science and linguistics, to model it using the method of information science, and to realize it on a computer system by the engineering technique.
Ten meetings are held in these two years. Where, many researchers are participated not only from the inside of committee but also from the outside of it and enlivened the discussion.
1. Language model for spoken conversation.
2. Production of surface representation of spoken language in the spoken language conversation system.
3. Understanding conversational speech.
4. Mechanism of dialogue control.
5. Database for spoken language conversation.
One of the aims of our project is to start genuine research on spoken language conversation on the basis of the cooperation of speech researchers and language processing researchers. This aim is successfully achieved.","","","","","","","","","","",""
